Inst,Buy/Sell,Lot,Entry,Exit,Profit/Loss,Balance: 100000
GBPUSD,Sell,3,1.2182,1.22388,-1704,98296
GBPUSD,Sell,3,1.24381,1.21643,8214,106510
GBPUSD,Buy,4,1.21643,1.2133,-1252,105258
GBPUSD,Buy,3,1.19056,1.20766,5130,110388
