Inst,Buy/Sell,Lot,Entry,Exit,Profit/Loss,Balance: 100000
GBPUSD,Buy,3,1.20685,1.2039,-885,99115
GBPUSD,Buy,3,1.20132,1.21249,3351,102466
GBPUSD,Buy,3,1.19262,1.20406,3432,105898
GBPUSD,Sell,3,1.20475,1.20792,-951,104947
GBPUSD,Buy,3,1.18841,1.18453,-1164,103783
GBPUSD,Sell,3,1.20989,1.21319,-990,102793
GBPUSD,Sell,3,1.21656,1.21807,-453,102340
GBPUSD,Sell,4,1.2287,1.23419,-2196,100144
GBPUSD,Sell,3,1.24244,1.22987,3771,103915
GBPUSD,Buy,4,1.22665,1.2395,5140,109055
