Inst,Buy/Sell,Lot,Entry,Exit,Profit/Loss,Balance: 100000
GBPAUD,Buy,3,1.76676,1.76347,-987,99013
GBPAUD,Buy,3,1.75997,1.75471,-1578,97435
GBPAUD,Buy,4,1.75976,1.76283,1228,98663
GBPAUD,Buy,4,1.75087,1.76283,4784,103447
GBPAUD,Sell,4,1.76327,1.76628,-1204,102243
GBPAUD,Sell,4,1.76759,1.75363,5584,107827
GBPAUD,Buy,4,1.75051,1.7584,3156,110983
