Inst,Buy/Sell,Lot,Entry,Exit,Profit/Loss,Balance: 100000
GBPAUD,Buy,2,1.77707,1.79164,2914,102914
GBPAUD,Buy,3,1.77364,1.77031,-999,101915
GBPAUD,Buy,4,1.77089,1.78009,3680,105595
GBPAUD,Buy,3,1.76862,1.76512,-1050,104545
GBPAUD,Sell,3,1.78425,1.77191,3702,108247
