Inst,Buy/Sell,Lot,Entry,Exit,Profit/Loss,Balance: 100000
EURAUD,Buy,3,1.54736,1.5601,3822,103822
EURAUD,Buy,3,1.53903,1.55226,3969,107791
EURAUD,Sell,3,1.55177,1.55422,-735,107056
EURAUD,Sell,3,1.55569,1.5405,4557,111613
