Inst,Buy/Sell,Lot,Entry,Exit,Profit/Loss,Balance: 100000
EURAUD,Sell,3,1.56933,1.57289,-1068,98932
EURAUD,Buy,3,1.54416,1.57363,8841,107773
EURAUD,Sell,3,1.59074,1.59369,-885,106888
EURAUD,Buy,3,1.57395,1.56905,-1470,105418
EURAUD,Buy,3,1.54393,1.57234,8523,113941
